Place Name,Category,Address,Rating,Key Features/Highlights,Opening Hours,Contact Information,Price Range,Accessibility Information,Best Time to Visit,Reviews,Model_Training_Text_Feature
Betalbatim Beach,Beach,"Betalbatim Beach, Goa",4.3,"Beautiful beach, water sports, beach shacks.",24 Hours,Not available,Free,Partial,Oct-May,"{""reviewer"": ""Rahul S."", ""date"": ""2025-09-09"", ""text"": ""Amazing place! Must visit!"", ""rating"": ""5""}; {""reviewer"": ""Amit K."", ""date"": ""2025-09-02"", ""text"": ""Great experience overall."", ""rating"": ""4""}; {""reviewer"": ""Vikram P."", ""date"": ""2025-06-16"", ""text"": ""Best in Goa! 5 stars."", ""rating"": ""5""}; {""reviewer"": ""Priya M."", ""date"": ""2026-01-13"", ""text"": ""Perfect for beach lovers!"", ""rating"": ""5""}; {""reviewer"": ""Sneha R."", ""date"": ""2025-05-05"", ""text"": ""Family friendly spot."", ""rating"": ""4""}; {""reviewer"": ""Neha G."", ""date"": ""2025-03-03"", ""text"": ""Romantic and beautiful."", ""rating"": ""5""}","Place Name: Betalbatim Beach
Address: Betalbatim Beach, Goa
Rating: 4.3
Key Features/Highlights: Beautiful beach, water sports, beach shacks.
Price Range: Free
Best Time to Visit: Oct-May
Reviews: {""reviewer"": ""Rahul S."", ""date"": ""2025-09-09"", ""text"": ""Amazing place! Must visit!"", ""rating"": ""5""}; {""reviewer"": ""Amit K."", ""date"": ""2025-09-02"", ""text"": ""Great experience overall."", ""rating"": ""4""}; {""reviewer"": ""Vikram P."", ""date"": ""2025-06-16"", ""text"": ""Best in Goa! 5 stars."", ""rating"": ""5""}; {""reviewer"": ""Priya M."", ""date"": ""2026-01-13"", ""text"": ""Perfect for beach lovers!"", ""rating"": ""5""}; {""reviewer"": ""Sneha R."", ""date"": ""2025-05-05"", ""text"": ""Family friendly spot."", ""rating"": ""4""}; {""reviewer"": ""Neha G."", ""date"": ""2025-03-03"", ""text"": ""Romantic and beautiful."", ""rating"": ""5""}"
Betalbatim Beach,Beach,"Betalbatim Beach, Goa",4.3,"Beautiful beach, water sports, beach shacks.",24 Hours,Not available,Free,Partial,Oct-May,"{""reviewer"": ""Priya M."", ""date"": ""2025-02-28"", ""text"": ""Perfect for beach lovers!"", ""rating"": ""5""}; {""reviewer"": ""Sneha R."", ""date"": ""2025-07-15"", ""text"": ""Family friendly spot."", ""rating"": ""4""}; {""reviewer"": ""Neha G."", ""date"": ""2025-10-08"", ""text"": ""Romantic and beautiful."", ""rating"": ""5""}; {""reviewer"": ""Rahul S."", ""date"": ""2025-05-07"", ""text"": ""Amazing place! Must visit!"", ""rating"": ""5""}; {""reviewer"": ""Amit K."", ""date"": ""2025-08-25"", ""text"": ""Great experience overall."", ""rating"": ""4""}; {""reviewer"": ""Vikram P."", ""date"": ""2025-04-14"", ""text"": ""Best in Goa! 5 stars."", ""rating"": ""5""}","Place Name: Betalbatim Beach
Address: Betalbatim Beach, Goa
Rating: 4.3
Key Features/Highlights: Beautiful beach, water sports, beach shacks.
Price Range: Free
Best Time to Visit: Oct-May
Reviews: {""reviewer"": ""Priya M."", ""date"": ""2025-02-28"", ""text"": ""Perfect for beach lovers!"", ""rating"": ""5""}; {""reviewer"": ""Sneha R."", ""date"": ""2025-07-15"", ""text"": ""Family friendly spot."", ""rating"": ""4""}; {""reviewer"": ""Neha G."", ""date"": ""2025-10-08"", ""text"": ""Romantic and beautiful."", ""rating"": ""5""}; {""reviewer"": ""Rahul S."", ""date"": ""2025-05-07"", ""text"": ""Amazing place! Must visit!"", ""rating"": ""5""}; {""reviewer"": ""Amit K."", ""date"": ""2025-08-25"", ""text"": ""Great experience overall."", ""rating"": ""4""}; {""reviewer"": ""Vikram P."", ""date"": ""2025-04-14"", ""text"": ""Best in Goa! 5 stars."", ""rating"": ""5""}"
Betalbatim Beach,Beach,"Betalbatim Beach, Goa",4.3,"Beautiful beach, water sports, beach shacks.",24 Hours,Not available,Free,Partial,Oct-May,"{""reviewer"": ""Rahul S."", ""date"": ""2025-12-20"", ""text"": ""Amazing place! Must visit!"", ""rating"": ""5""}; {""reviewer"": ""Sneha R."", ""date"": ""2025-06-09"", ""text"": ""Family friendly spot."", ""rating"": ""4""}; {""reviewer"": ""Amit K."", ""date"": ""2025-05-28"", ""text"": ""Great experience overall."", ""rating"": ""4""}; {""reviewer"": ""Priya M."", ""date"": ""2025-11-26"", ""text"": ""Perfect for beach lovers!"", ""rating"": ""5""}; {""reviewer"": ""Neha G."", ""date"": ""2025-08-15"", ""text"": ""Romantic and beautiful."", ""rating"": ""5""}; {""reviewer"": ""Vikram P."", ""date"": ""2026-01-26"", ""text"": ""Best in Goa! 5 stars."", ""rating"": ""5""}","Place Name: Betalbatim Beach
Address: Betalbatim Beach, Goa
Rating: 4.3
Key Features/Highlights: Beautiful beach, water sports, beach shacks.
Price Range: Free
Best Time to Visit: Oct-May
Reviews: {""reviewer"": ""Rahul S."", ""date"": ""2025-12-20"", ""text"": ""Amazing place! Must visit!"", ""rating"": ""5""}; {""reviewer"": ""Sneha R."", ""date"": ""2025-06-09"", ""text"": ""Family friendly spot."", ""rating"": ""4""}; {""reviewer"": ""Amit K."", ""date"": ""2025-05-28"", ""text"": ""Great experience overall."", ""rating"": ""4""}; {""reviewer"": ""Priya M."", ""date"": ""2025-11-26"", ""text"": ""Perfect for beach lovers!"", ""rating"": ""5""}; {""reviewer"": ""Neha G."", ""date"": ""2025-08-15"", ""text"": ""Romantic and beautiful."", ""rating"": ""5""}; {""reviewer"": ""Vikram P."", ""date"": ""2026-01-26"", ""text"": ""Best in Goa! 5 stars."", ""rating"": ""5""}"
Betalbatim Beach,Beach,"Betalbatim Beach, Goa",4.3,"Beautiful beach, water sports, beach shacks.",24 Hours,Not available,Free,Partial,Oct-May,"{""reviewer"": ""Sneha R."", ""date"": ""2025-02-22"", ""text"": ""Family friendly spot."", ""rating"": ""4""}; {""reviewer"": ""Priya M."", ""date"": ""2025-05-06"", ""text"": ""Perfect for beach lovers!"", ""rating"": ""5""}; {""reviewer"": ""Rahul S."", ""date"": ""2025-07-29"", ""text"": ""Amazing place! Must visit!"", ""rating"": ""5""}; {""reviewer"": ""Amit K."", ""date"": ""2025-05-24"", ""text"": ""Great experience overall."", ""rating"": ""4""}; {""reviewer"": ""Neha G."", ""date"": ""2025-11-09"", ""text"": ""Romantic and beautiful."", ""rating"": ""5""}; {""reviewer"": ""Vikram P."", ""date"": ""2025-05-21"", ""text"": ""Best in Goa! 5 stars."", ""rating"": ""5""}","Place Name: Betalbatim Beach
Address: Betalbatim Beach, Goa
Rating: 4.3
Key Features/Highlights: Beautiful beach, water sports, beach shacks.
Price Range: Free
Best Time to Visit: Oct-May
Reviews: {""reviewer"": ""Sneha R."", ""date"": ""2025-02-22"", ""text"": ""Family friendly spot."", ""rating"": ""4""}; {""reviewer"": ""Priya M."", ""date"": ""2025-05-06"", ""text"": ""Perfect for beach lovers!"", ""rating"": ""5""}; {""reviewer"": ""Rahul S."", ""date"": ""2025-07-29"", ""text"": ""Amazing place! Must visit!"", ""rating"": ""5""}; {""reviewer"": ""Amit K."", ""date"": ""2025-05-24"", ""text"": ""Great experience overall."", ""rating"": ""4""}; {""reviewer"": ""Neha G."", ""date"": ""2025-11-09"", ""text"": ""Romantic and beautiful."", ""rating"": ""5""}; {""reviewer"": ""Vikram P."", ""date"": ""2025-05-21"", ""text"": ""Best in Goa! 5 stars."", ""rating"": ""5""}"
Betalbatim Beach,Beach,"Betalbatim Beach, Goa",4.3,"Beautiful beach, water sports, beach shacks.",24 Hours,Not available,Free,Partial,Oct-May,"{""reviewer"": ""Rahul S."", ""date"": ""2025-08-06"", ""text"": ""Amazing place! Must visit!"", ""rating"": ""5""}; {""reviewer"": ""Neha G."", ""date"": ""2025-09-18"", ""text"": ""Romantic and beautiful."", ""rating"": ""5""}; {""reviewer"": ""Priya M."", ""date"": ""2025-04-08"", ""text"": ""Perfect for beach lovers!"", ""rating"": ""5""}; {""reviewer"": ""Amit K."", ""date"": ""2025-03-03"", ""text"": ""Great experience overall."", ""rating"": ""4""}; {""reviewer"": ""Vikram P."", ""date"": ""2025-05-20"", ""text"": ""Best in Goa! 5 stars."", ""rating"": ""5""}; {""reviewer"": ""Sneha R."", ""date"": ""2025-11-02"", ""text"": ""Family friendly spot."", ""rating"": ""4""}","Place Name: Betalbatim Beach
Address: Betalbatim Beach, Goa
Rating: 4.3
Key Features/Highlights: Beautiful beach, water sports, beach shacks.
Price Range: Free
Best Time to Visit: Oct-May
Reviews: {""reviewer"": ""Rahul S."", ""date"": ""2025-08-06"", ""text"": ""Amazing place! Must visit!"", ""rating"": ""5""}; {""reviewer"": ""Neha G."", ""date"": ""2025-09-18"", ""text"": ""Romantic and beautiful."", ""rating"": ""5""}; {""reviewer"": ""Priya M."", ""date"": ""2025-04-08"", ""text"": ""Perfect for beach lovers!"", ""rating"": ""5""}; {""reviewer"": ""Amit K."", ""date"": ""2025-03-03"", ""text"": ""Great experience overall."", ""rating"": ""4""}; {""reviewer"": ""Vikram P."", ""date"": ""2025-05-20"", ""text"": ""Best in Goa! 5 stars."", ""rating"": ""5""}; {""reviewer"": ""Sneha R."", ""date"": ""2025-11-02"", ""text"": ""Family friendly spot."", ""rating"": ""4""}"
Betalbatim Beach,Beach,"Betalbatim Beach, Goa",4.3,"Beautiful beach, water sports, beach shacks.",24 Hours,Not available,Free,Partial,Oct-May,"{""reviewer"": ""Vikram P."", ""date"": ""2025-06-29"", ""text"": ""Best in Goa! 5 stars."", ""rating"": ""5""}; {""reviewer"": ""Amit K."", ""date"": ""2025-11-09"", ""text"": ""Great experience overall."", ""rating"": ""4""}; {""reviewer"": ""Sneha R."", ""date"": ""2025-09-03"", ""text"": ""Family friendly spot."", ""rating"": ""4""}; {""reviewer"": ""Priya M."", ""date"": ""2025-02-22"", ""text"": ""Perfect for beach lovers!"", ""rating"": ""5""}; {""reviewer"": ""Neha G."", ""date"": ""2025-04-24"", ""text"": ""Romantic and beautiful."", ""rating"": ""5""}; {""reviewer"": ""Rahul S."", ""date"": ""2025-09-05"", ""text"": ""Amazing place! Must visit!"", ""rating"": ""5""}","Place Name: Betalbatim Beach
Address: Betalbatim Beach, Goa
Rating: 4.3
Key Features/Highlights: Beautiful beach, water sports, beach shacks.
Price Range: Free
Best Time to Visit: Oct-May
Reviews: {""reviewer"": ""Vikram P."", ""date"": ""2025-06-29"", ""text"": ""Best in Goa! 5 stars."", ""rating"": ""5""}; {""reviewer"": ""Amit K."", ""date"": ""2025-11-09"", ""text"": ""Great experience overall."", ""rating"": ""4""}; {""reviewer"": ""Sneha R."", ""date"": ""2025-09-03"", ""text"": ""Family friendly spot."", ""rating"": ""4""}; {""reviewer"": ""Priya M."", ""date"": ""2025-02-22"", ""text"": ""Perfect for beach lovers!"", ""rating"": ""5""}; {""reviewer"": ""Neha G."", ""date"": ""2025-04-24"", ""text"": ""Romantic and beautiful."", ""rating"": ""5""}; {""reviewer"": ""Rahul S."", ""date"": ""2025-09-05"", ""text"": ""Amazing place! Must visit!"", ""rating"": ""5""}"
Calangute Beach,Beach,"Calangute, Bardez, Goa 403516",4.2,"Goa's Queen of Beaches, 8km golden sands, 100+ shacks, water sports, shopping.",24 Hours,Not available,Free,Partial,Nov-Mar,"{""reviewer"": ""Vikram P."", ""date"": ""2025-03-28"", ""text"": ""Best in Goa! 5 stars."", ""rating"": ""5""}; {""reviewer"": ""Neha G."", ""date"": ""2025-03-31"", ""text"": ""Romantic and beautiful."", ""rating"": ""5""}; {""reviewer"": ""Amit K."", ""date"": ""2025-09-22"", ""text"": ""Great experience overall."", ""rating"": ""4""}; {""reviewer"": ""Rahul S."", ""date"": ""2025-03-22"", ""text"": ""Amazing place! Must visit!"", ""rating"": ""5""}; {""reviewer"": ""Sneha R."", ""date"": ""2025-09-25"", ""text"": ""Family friendly spot."", ""rating"": ""4""}; {""reviewer"": ""Priya M."", ""date"": ""2025-09-24"", ""text"": ""Perfect for beach lovers!"", ""rating"": ""5""}","Place Name: Calangute Beach
Address: Calangute, Bardez, Goa 403516
Rating: 4.2
Key Features/Highlights: Goa's Queen of Beaches, 8km golden sands, 100+ shacks, water sports, shopping.
Price Range: Free
Best Time to Visit: Nov-Mar
Reviews: {""reviewer"": ""Vikram P."", ""date"": ""2025-03-28"", ""text"": ""Best in Goa! 5 stars."", ""rating"": ""5""}; {""reviewer"": ""Neha G."", ""date"": ""2025-03-31"", ""text"": ""Romantic and beautiful."", ""rating"": ""5""}; {""reviewer"": ""Amit K."", ""date"": ""2025-09-22"", ""text"": ""Great experience overall."", ""rating"": ""4""}; {""reviewer"": ""Rahul S."", ""date"": ""2025-03-22"", ""text"": ""Amazing place! Must visit!"", ""rating"": ""5""}; {""reviewer"": ""Sneha R."", ""date"": ""2025-09-25"", ""text"": ""Family friendly spot."", ""rating"": ""4""}; {""reviewer"": ""Priya M."", ""date"": ""2025-09-24"", ""text"": ""Perfect for beach lovers!"", ""rating"": ""5""}"
Calangute Beach,Beach,Calangute,4.1,One of the longest and busiest beaches in North Goa, water sports, shacks, and shopping.,24 Hours (Beach),Not available,Free,"Place Name: Calangute Beach
Address: Calangute
Rating: 4.1
Key Features/Highlights: One of the longest and busiest beaches in North Goa
Price Range:  and shopping.
Best Time to Visit: Not available
Reviews: Free"
Candolim Beach,Beach,"Candolim, Bardez, Goa 403515",4.3,"Upscale beach, water sports, luxury resorts nearby.",24 Hours,Not available,Free,Accessible,Oct-May,"{""reviewer"": ""Sneha R."", ""date"": ""2025-03-19"", ""text"": ""Family friendly spot."", ""rating"": ""4""}; {""reviewer"": ""Priya M."", ""date"": ""2025-08-03"", ""text"": ""Perfect for beach lovers!"", ""rating"": ""5""}; {""reviewer"": ""Amit K."", ""date"": ""2025-06-05"", ""text"": ""Great experience overall."", ""rating"": ""4""}; {""reviewer"": ""Rahul S."", ""date"": ""2025-03-12"", ""text"": ""Amazing place! Must visit!"", ""rating"": ""5""}","Place Name: Candolim Beach
Address: Candolim, Bardez, Goa 403515
Rating: 4.3
Key Features/Highlights: Upscale beach, water sports, luxury resorts nearby.
Price Range: Free
Best Time to Visit: Oct-May
Reviews: {""reviewer"": ""Sneha R."", ""date"": ""2025-03-19"", ""text"": ""Family friendly spot."", ""rating"": ""4""}; {""reviewer"": ""Priya M."", ""date"": ""2025-08-03"", ""text"": ""Perfect for beach lovers!"", ""rating"": ""5""}; {""reviewer"": ""Amit K."", ""date"": ""2025-06-05"", ""text"": ""Great experience overall."", ""rating"": ""4""}; {""reviewer"": ""Rahul S."", ""date"": ""2025-03-12"", ""text"": ""Amazing place! Must visit!"", ""rating"": ""5""}"
Candolim Beach,Beach,Bardez,4.2,Closeâ€‘knit with Calangute, good for shacks, water sports, and family visits.,24 Hours (Beach),Not available,Free,"Place Name: Candolim Beach
Address: Bardez
Rating: 4.2
Key Features/Highlights: Closeâ€‘knit with Calangute
Price Range:  and family visits.
Best Time to Visit: Not available
Reviews: Free"
Colva Beach,Beach,"Colva, Salcete, Goa 403708",4.3,"Queen of South Goa beaches, 20km white sands, Portuguese heritage.",24 Hours,Not available,Free,Accessible,Oct-Apr,"{""reviewer"": ""Rahul S."", ""date"": ""2025-07-25"", ""text"": ""Amazing place! Must visit!"", ""rating"": ""5""}; {""reviewer"": ""Sneha R."", ""date"": ""2025-05-22"", ""text"": ""Family friendly spot."", ""rating"": ""4""}; {""reviewer"": ""Neha G."", ""date"": ""2025-04-15"", ""text"": ""Romantic and beautiful."", ""rating"": ""5""}; {""reviewer"": ""Priya M."", ""date"": ""2025-02-15"", ""text"": ""Perfect for beach lovers!"", ""rating"": ""5""}","Place Name: Colva Beach
Address: Colva, Salcete, Goa 403708
Rating: 4.3
Key Features/Highlights: Queen of South Goa beaches, 20km white sands, Portuguese heritage.
Price Range: Free
Best Time to Visit: Oct-Apr
Reviews: {""reviewer"": ""Rahul S."", ""date"": ""2025-07-25"", ""text"": ""Amazing place! Must visit!"", ""rating"": ""5""}; {""reviewer"": ""Sneha R."", ""date"": ""2025-05-22"", ""text"": ""Family friendly spot."", ""rating"": ""4""}; {""reviewer"": ""Neha G."", ""date"": ""2025-04-15"", ""text"": ""Romantic and beautiful."", ""rating"": ""5""}; {""reviewer"": ""Priya M."", ""date"": ""2025-02-15"", ""text"": ""Perfect for beach lovers!"", ""rating"": ""5""}"
Miramar Beach,Beach,"Miramar Beach, Goa",4.2,"Beautiful beach, water sports, beach shacks.",24 Hours,Not available,Free,Partial,Oct-May,"{""reviewer"": ""Vikram P."", ""date"": ""2025-10-31"", ""text"": ""Best in Goa! 5 stars."", ""rating"": ""5""}; {""reviewer"": ""Amit K."", ""date"": ""2025-12-05"", ""text"": ""Great experience overall."", ""rating"": ""4""}; {""reviewer"": ""Sneha R."", ""date"": ""2025-03-09"", ""text"": ""Family friendly spot."", ""rating"": ""4""}; {""reviewer"": ""Priya M."", ""date"": ""2025-08-04"", ""text"": ""Perfect for beach lovers!"", ""rating"": ""5""}","Place Name: Miramar Beach
Address: Miramar Beach, Goa
Rating: 4.2
Key Features/Highlights: Beautiful beach, water sports, beach shacks.
Price Range: Free
Best Time to Visit: Oct-May
Reviews: {""reviewer"": ""Vikram P."", ""date"": ""2025-10-31"", ""text"": ""Best in Goa! 5 stars."", ""rating"": ""5""}; {""reviewer"": ""Amit K."", ""date"": ""2025-12-05"", ""text"": ""Great experience overall."", ""rating"": ""4""}; {""reviewer"": ""Sneha R."", ""date"": ""2025-03-09"", ""text"": ""Family friendly spot."", ""rating"": ""4""}; {""reviewer"": ""Priya M."", ""date"": ""2025-08-04"", ""text"": ""Perfect for beach lovers!"", ""rating"": ""5""}"
